,PlAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PU_PPG,PU_FGM_PG,PU_FGA_PG,PU_FG_PCT,PU_FG3M_PG,PU_FG3A_PG,PU_FG3_PCT,PU_EFG_PCT,PU_PTS_TOT,DVS,DVS_PPG,DVS_TPPG,DVS_FG_PCT,DVS_PP48,DVS_PTS_TOT,DVS_TOT,BLK_PG,STL_PG,OPP_FGM_RIM,OPP_FGA_RIM,OPP_FGP_RIM,BLK_TOT,PASS_PG,AST_PG,AST_FT,AST_SEC,AST_OPPS_PG,AST_PTS_CRT_PG,AST_PTS_CRT_48,AST_TOT,TCH_PG,TCH_FC_PG,TOP,CL_TCH_PG,EL_TCH_PG,PPG,PP_TCH,PP_HC_TCH,TCH_TOT,DIST,AVG_SPD,DIST_PG,DIST_48,DIST_OFF,DIST_DEF,AVG_SPD_OFF,AVG_SPD_DEF,REB_PG,REB_CHANCE_PG,REB_COL_PCT,REB_CONTESTED,REB_UNCONTESTED,REB_UNCONTESTED_PCT,REB_TOT,OREB,OREB_CHANCE,OREB_COL_PCT,OREB_CONTESTED,OREB_UNCONTESTED,OREB_UNCONTESTED_PCT,DREB,DREB_CHANCE,DREB_COL_PCT,DREB_CONTESTED,DREB_UNCONTESTED,DREB_UNCONTESTED_PCT,CS_PPG,CS_FGM_PG,CS_FGA_PG,CS_FG_PCT,CS_FG3M_PG,CS_FG3A_PG,CS_FG3_PCT,CS_EFG_PCT,CS_PTS_TOT,CS_PPG,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT
11,101126,Nate Robinson,Nate,Robinson,DEN,18,18.83611111,3.444444444,1.5,4.777777778,0.313953488,0.444444444,1.222222222,0.363636364,0.360465116,62,3,2,3.666666667,0.438,5.096593423,36,54,0.055555556,0.777777778,0.222222222,0.444444444,0.5,1,24.11111111,2.611111111,0.166666667,0.666666667,5.166666667,6,15.28978027,47,35.94444444,31.33333333,2.434259259,0.333333333,2.111111111,10.22222222,0.28438949,0.326241135,647,24.06,4.3,1.336666667,3.406223271,12.95,11.11,4.6,3.9,1.888888889,3.444444444,0.548,0.222222222,1.666666667,0.118,34,0.333333333,1,0.333,0.166666667,0.166666667,0.5,1.555555556,2.444444444,0.636,0.055555556,1.5,0.036,2.777777778,0.944444444,2.055555556,0.459459459,0.888888889,1.888888889,0.470588235,0.675675676,50,10.22222222,2,0.438,0.111111111,0.5,2.777777778,0.459459459,3.444444444,0.313953488,1.777777778,0.111111111,2.055555556,4.777777778,0.487654321
12,101127,Jarrett Jack,Jarrett,Jack,CLE,18,26.85185185,5.388888889,2.555555556,6.777777778,0.37704918,0.277777778,1,0.277777778,0.397540984,97,2.055555556,1.5,2.277777778,0.667,2.68137931,27,37,0.5,0.833333333,0.444444444,1.166666667,0.381,9,43.55555556,3.722222222,0.277777778,0.611111111,8.777777778,8.888888889,15.88965517,67,56.94444444,49.72222222,3.966666667,0.166666667,3.888888889,9.388888889,0.164878049,0.188826816,1025,33.25,4.1,1.847222222,3.302068966,18.68,14.57,4.6,3.7,2.277777778,3.888888889,0.586,0.277777778,2,0.122,41,0.222222222,0.444444444,0.5,0.111111111,0.111111111,0.5,2.055555556,3.444444444,0.597,0.166666667,1.888888889,0.081,1.833333333,0.611111111,1.555555556,0.392857143,0.611111111,1.388888889,0.44,0.589285714,33,9.388888889,1.5,0.667,0,null,1.833333333,0.392857143,5.388888889,0.37704918,0.833333333,0,1.555555556,6.777777778,0.477707006
13,101128,Francisco Garcia,Francisco,Garcia,HOU,19,21.53947368,1.315789474,0.578947368,1.421052632,0.407407407,0.157894737,0.368421053,0.428571429,0.462962963,25,1.473684211,1.210526316,1.526315789,0.833,2.697617593,23,28,0.842105263,0.631578947,1.315789474,2.263157895,0.581,16,19.84210526,1.315789474,0.157894737,0.105263158,2.578947368,3.315789474,7.389126451,25,28,22.47368421,0.773684211,0.263157895,0.315789474,7.894736842,0.281954887,0.351288056,532,27.83,4.1,1.464736842,3.264117288,14.24,13.59,4.3,3.9,2.526315789,4.105263158,0.615,0.526315789,2,0.208,48,0.315789474,0.421052632,0.75,0.157894737,0.157894737,0.5,2.210526316,3.684210526,0.6,0.368421053,1.842105263,0.167,4.842105263,1.631578947,4.421052632,0.369047619,1.578947368,4.157894737,0.379746835,0.547619048,92,7.894736842,1.210526316,0.833,0.105263158,1,4.842105263,0.369047619,1.315789474,0.407407407,0.631578947,0.052631579,4.421052632,1.421052632,0.554263566
14,101131,Jason Maxiell,Jason,Maxiell,ORL,14,19.35952381,0.142857143,0.071428571,0.214285714,0.333333333,0,0,null,0.333333333,2,0.142857143,0,0.285714286,null,0,0,2,0.642857143,0.214285714,2.285714286,3.714285714,0.615,9,15.35714286,0.285714286,0.071428571,0.285714286,0.642857143,0.714285714,1.770999877,4,21,9.214285714,0.391666667,2.285714286,0.571428571,5.214285714,0.24829932,0.565891473,294,18.93,4.2,1.352142857,3.352502767,10.32,8.61,4.4,4,3,5.857142857,0.5,0.928571429,2,0.317,42,1,1.928571429,0.519,0.5,0.5,0.5,2,3.928571429,0.491,0.428571429,1.5,0.222,1.285714286,0.642857143,1.642857143,0.391304348,0,0,null,0.391304348,18,5.214285714,0,null,1.785714286,0.538,1.285714286,0.391304348,0.142857143,0.333333333,0,1.857142857,1.642857143,0.214285714,0.5
15,101133,Ian Mahinmi,Ian,Mahinmi,IND,18,15.50740741,0,0,0,null,0,0,null,null,0,0.166666667,0.111111111,0.111111111,0,0.343921662,2,3,0.833333333,0.5,2.555555556,5.555555556,0.46,15,12.22222222,0.166666667,0.055555556,0.111111111,0.555555556,0.333333333,1.031764987,3,16.33333333,8.333333333,0.349074074,1.722222222,1.055555556,2.777777778,0.170068027,0.333333333,294,18.23,3.9,1.012777778,3.134845952,9.53,8.7,4,3.8,3.055555556,6.444444444,0.474,1.944444444,1.111111111,0.636,55,1.111111111,2.777777778,0.4,0.944444444,0.166666667,0.85,1.944444444,3.666666667,0.53,1,0.944444444,0.514,0.222222222,0.111111111,0.555555556,0.2,0,0,null,0.2,4,2.777777778,0.111111111,0,1.833333333,0.688,0.222222222,0.2,0,null,0.111111111,0.888888889,0.555555556,0,0.388888889
16,101135,David Lee,David,Lee,GSW,18,33.38796296,0.555555556,0.277777778,0.5,0.555555556,0,0,null,0.555555556,10,1.888888889,1.777777778,2.666666667,0.529,2.555811309,32,34,0.222222222,0.5,3.055555556,6.222222222,0.491,4,34.27777778,2.5,0.166666667,1.111111111,4.222222222,6.277777778,9.025208686,45,53.55555556,30.22222222,1.337962963,3.888888889,4,17.33333333,0.323651452,0.573529412,964,40.13,4,2.229444444,3.20514712,20.86,19.27,4.4,3.7,9.444444444,16.61111111,0.569,3.055555556,6.388888889,0.324,170,2.111111111,4.888888889,0.432,1.388888889,0.722222222,0.658,7.333333333,11.72222222,0.626,1.666666667,5.666666667,0.227,1,0.5,1.666666667,0.3,0,0.055555556,0,0.3,18,17.33333333,1.777777778,0.529,3.944444444,0.563,1,0.3,0.555555556,0.555555556,0.944444444,2.666666667,1.666666667,0.5,0.495798319
17,101138,Brandon Bass,Brandon,Bass,BOS,20,29.455,1.95,0.95,2.15,0.441860465,0.05,0.1,0.5,0.453488372,39,1.2,0.7,1.6,0.357,1.140723137,14,24,1.25,0.45,2.5,4.65,0.538,25,31.5,1.3,0,0.45,2.65,2.7,4.3999321,26,43.8,24.35,1.130833333,2.55,5,11.1,0.253424658,0.455852156,876,39.12,4,1.956,3.187506366,20.89,18.23,4.2,3.7,5.75,9.75,0.59,2.05,3.7,0.357,115,1.55,3.35,0.463,0.85,0.7,0.548,4.2,6.4,0.656,1.2,3,0.286,1.7,0.85,2.35,0.361702128,0,0,null,0.361702128,34,11.1,0.7,0.357,1.9,0.625,1.7,0.361702128,1.95,0.441860465,0.7,1.2,2.35,2.15,0.468253968
18,101139,CJ Miles,CJ,Miles,CLE,14,18.14285714,1.571428571,0.714285714,1.785714286,0.4,0.142857143,0.285714286,0.5,0.44,22,1.071428571,1.285714286,1.571428571,0.545,3.401574803,18,15,0.571428571,0.928571429,0.571428571,1.285714286,0.444,8,13.71428571,0.928571429,0.071428571,0,2.142857143,2.142857143,5.669291339,13,23.07142857,19.28571429,0.616666667,0.142857143,1.785714286,9,0.390092879,0.466666667,323,17.61,4.2,1.257857143,3.327874016,9.74,7.87,4.5,3.8,2.142857143,4.142857143,0.517,0.642857143,1.5,0.3,30,0.5,0.928571429,0.538,0.214285714,0.285714286,0.429,1.642857143,3.214285714,0.511,0.428571429,1.214285714,0.261,4.428571429,1.571428571,4.428571429,0.35483871,1.285714286,3.5,0.367346939,0.5,62,9,1.285714286,0.545,0.142857143,0.5,4.428571429,0.35483871,1.571428571,0.4,0.785714286,0.142857143,4.428571429,1.785714286,0.531818182
19,101141,Ersan Ilyasova,Ersan,Ilyasova,MIL,10,25.34,1.1,0.5,0.9,0.555555556,0.1,0.1,1,0.611111111,11,0.9,0.4,1.1,0.4,0.757695343,4,9,0.2,1.3,2.3,4.2,0.548,2,39.8,1.8,0,0.4,3.7,4.2,7.955801105,18,51.2,29.9,1.018333333,1.4,5,8.9,0.173828125,0.297658863,512,16.94,4,1.694,3.208839779,9.45,7.49,4.3,3.7,5,8.1,0.617,2,3,0.4,50,1.5,2.2,0.682,1.1,0.4,0.733,3.5,5.9,0.593,0.9,2.6,0.257,4,1.8,4.7,0.382978723,0.4,1.9,0.210526316,0.425531915,40,8.9,0.4,0.4,2.2,0.786,4,0.382978723,1.1,0.555555556,0.5,1.4,4.7,0.9,0.494047619
20,101142,Ronny Turiaf,Ronny,Turiaf,MIN,2,8.675,0,0,0,null,0,0,null,null,0,0,0,0,null,0,0,0,0.5,0.5,1.5,3,0.5,1,9,1,0,0.5,1.5,2,11.06628242,2,11,7,0.291666667,2,1.5,1.5,0.136363636,0.214285714,22,1.11,3.8,0.555,3.070893372,0.54,0.57,4.1,3.6,1.5,3,0.5,1,0.5,0.667,3,0.5,0.5,1,0.5,0,1,1,2.5,0.4,0.5,0.5,0.5,0,0,0,null,0,0,null,null,0,1.5,0,null,1.5,0.333,0,null,0,null,0,1.5,0,0,0.25
