"PlAYER_ID","PLAYER","FIRST_NAME","LAST_NAME","TEAM_ABBREVIATION","GP","MIN","PU_PPG","PU_FGM_PG","PU_FGA_PG","PU_FG_PCT","PU_FG3M_PG","PU_FG3A_PG","PU_FG3_PCT","PU_EFG_PCT","PU_PTS_TOT","DVS","DVS_PPG","DVS_TPPG","DVS_FG_PCT","DVS_PP48","DVS_PTS_TOT","DVS_TOT","BLK_PG","STL_PG","OPP_FGM_RIM","OPP_FGA_RIM","OPP_FGP_RIM","BLK_TOT","PASS_PG","AST_PG","AST_FT","AST_SEC","AST_OPPS_PG","AST_PTS_CRT_PG","AST_PTS_CRT_48","AST_TOT","TCH_PG","TCH_FC_PG","TOP","CL_TCH_PG","EL_TCH_PG","PPG","PP_TCH","PP_HC_TCH","TCH_TOT","DIST","AVG_SPD","DIST_PG","DIST_48","DIST_OFF","DIST_DEF","AVG_SPD_OFF","AVG_SPD_DEF","REB_PG","REB_CHANCE_PG","REB_COL_PCT","REB_CONTESTED","REB_UNCONTESTED","REB_UNCONTESTED_PCT","REB_TOT","OREB","OREB_CHANCE","OREB_COL_PCT","OREB_CONTESTED","OREB_UNCONTESTED","OREB_UNCONTESTED_PCT","DREB","DREB_CHANCE","DREB_COL_PCT","DREB_CONTESTED","DREB_UNCONTESTED","DREB_UNCONTESTED_PCT","CS_PPG","CS_FGM_PG","CS_FGA_PG","CS_FG_PCT","CS_FG3M_PG","CS_FG3A_PG","CS_FG3_PCT","CS_EFG_PCT","CS_PTS_TOT","PPG.duplicate","PPG_DRIVE","FGP_DRIVE","PPG_CLOSE","FGP_CLOSE","PPG_CATCH_SHOOT","FGP_CATCH_SHOOT","PTS_PULL_UP","FGP_PULL_UP","FGA_DRIVE","FGA_CLOSE","FGA_CATCH_SHOOT","FGA_PULL_UP","EFG_PCT"
203507,"Giannis Antetokounmpo","Giannis","Antetokounmpo","MIL",76,24.863158,0.65789474,0.25,0.90789474,0.27536231884058,0.15789474,0.35526316,0.444444444444444,0.36231884057971,50,2.35526316,1.18421053,2.55263158,0.329,2.28619814,90,179,0.80263158,0.77631579,1.42105263,3.26315789,0.435,61,33.421053,1.97368421,0.35526316,0.57894737,3.64473684,4.6710526,9.0177815,150,42.578947,28,1.26381579,1.5,1.57894737,6.8815789,0.16161928,0.24577068,3236,137.48,4.4,1.8089474,3.492295,75.32,62.16,4.8,4,4.4342105,7.8947368,0.562,1.25,3.18421053,0.282,337,1.02631579,1.85526316,0.553,0.60526316,0.42105263,0.59,3.4078947,6.0394737,0.564,0.64473684,2.76315789,0.189,1.18421053,0.42105263,1.44736842,0.290909090909091,0.34210526,1.13157895,0.302325581395349,0.409090909090909,90,6.8815789,1.18421053,0.329,0.86842105,0.51,1.18421053,0.290909090909091,0.65789474,0.27536231884058,1,0.64473684,1.44736842,0.90789474,0.462740384615385
203508,"Sergey Karasev","Sergey","Karasev","CLE",22,7.137121,0.18181818,0.09090909,0.36363636,0.25,0,0,NA,0.25,4,0.22727273,0.09090909,0.18181818,0.5,0.61140006,2,5,0.04545455,0.13636364,0.18181818,0.5,0.364,1,6.818182,0.27272727,0,0.13636364,0.95454545,0.5454545,3.6684004,6,9.181818,7.409091,0.2719697,0.13636364,0.13636364,1.6818182,0.18316832,0.22699387,202,11.69,4.5,0.5313636,3.573633,6.28,5.41,4.9,4.1,0.7272727,1.3181818,0.552,0,0.72727273,0,16,0,0.09090909,0,0,0,NA,0.7272727,1.2272727,0.593,0,0.72727273,0,0.63636364,0.22727273,1,0.227272727272727,0.18181818,0.86363636,0.210526315789474,0.318181818181818,14,1.6818182,0.09090909,0.5,0.18181818,1,0.63636364,0.227272727272727,0.18181818,0.25,0.09090909,0.09090909,1,0.36363636,0.4
203513,"Erik Murphy","Erik","Murphy","CHI",24,2.607639,0,0,0.125,0,0,0,NA,0,0,0.04166667,0,0,0,0,0,1,0.16666667,0,0.20833333,0.5,0.417,4,4.375,0.08333333,0,0,0.16666667,0.1666667,3.0679095,2,5.083333,2.166667,0.08611111,0.20833333,0.375,0.25,0.04918033,0.11538462,122,4.55,4.4,0.1895833,3.489747,2.57,1.98,4.6,4.2,0.3333333,0.7083333,0.471,0.125,0.20833333,0.375,8,0.08333333,0.16666667,0.5,0.08333333,0,1,0.25,0.5416667,0.462,0.04166667,0.20833333,0.167,0.08333333,0.04166667,0.25,0.166666666666667,0,0.125,0,0.166666666666667,2,0.25,0,0,0.16666667,0.667,0.08333333,0.166666666666667,0,0,0.04166667,0.125,0.25,0.125,0.230769230769231
203515,"Phil Pressey","Phil","Pressey","BOS",75,15.224,0.6,0.26666667,1.14666667,0.232558139534884,0.06666667,0.33333333,0.2,0.261627906976744,45,2.09333333,0.6,2.28,0.34,1.89174987,45,157,0.06666667,0.90666667,0.49333333,0.77333333,0.638,5,29.146667,3.21333333,0.37333333,0.72,6.12,7.4266667,23.4156595,241,35.36,30.146667,2.58866667,0.24,0.34666667,2.84,0.08031674,0.0942061,2652,81.6,4.3,1.088,3.430373,43.62,37.98,4.6,4,1.4,2.4,0.583,0.18666667,1.21333333,0.133,105,0.26666667,0.46666667,0.571,0.10666667,0.16,0.4,1.1333333,1.9333333,0.586,0.08,1.05333333,0.071,0.94666667,0.32,1.10666667,0.289156626506024,0.30666667,1.05333333,0.291139240506329,0.427710843373494,71,2.84,0.6,0.34,0.02666667,0,0.94666667,0.289156626506024,0.6,0.232558139534884,0.66666667,0.05333333,1.10666667,1.14666667,0.363636363636364
203517,"Nemanja Nedovic","Nemanja","Nedovic","GSW",23,5.905072,0.30434783,0.13043478,0.52173913,0.25,0.04347826,0.17391304,0.25,0.291666666666667,7,0.56521739,0.17391304,0.34782609,0,1.41367039,4,13,0.04347826,0,0.17391304,0.52173913,0.333,1,7.478261,0.52173913,0.13043478,0.13043478,1.2173913,1.3478261,10.9559455,12,9.913043,8.565217,0.84855072,0.13043478,0.04347826,1.0434783,0.10526316,0.12182741,228,9.68,4.3,0.4208696,3.421082,5.28,4.4,4.6,4,0.6086957,1.0434783,0.583,0.13043478,0.47826087,0.214,14,0.13043478,0.2173913,0.6,0,0.13043478,0,0.4782609,0.826087,0.579,0.13043478,0.34782609,0.273,0.26086957,0.08695652,0.47826087,0.181818181818182,0.08695652,0.47826087,0.181818181818182,0.272727272727273,6,1.0434783,0.17391304,0,0.08695652,0.5,0.26086957,0.181818181818182,0.30434783,0.25,0.26086957,0.08695652,0.47826087,0.52173913,0.25
203519,"Adonis Thomas","Adonis","Thomas","ORL",4,6.141667,0.5,0.25,0.5,0.5,0,0.25,0,0.5,2,0.5,0,1,0,0,0,2,0,0,0.25,0.25,1,0,2.5,0.5,0,0,0.75,1,7.8154681,2,5,4,0.13333333,0,0,1.75,0.35,0.4375,20,1.82,4.4,0.455,3.556038,0.97,0.85,4.9,4,0.75,1.5,0.5,0,0.75,0,3,0,0,NA,0,0,NA,0.75,1.5,0.5,0,0.75,0,0,0,1,0,0,0.5,0,0,0,1.75,0,0,0,NA,0,0,0.5,0.5,0.25,0,1,0.5,0.333333333333333
203519,"Adonis Thomas","Adonis","Thomas","PHI",2,6.65,2,1,1,1,0,0,NA,1,4,0,0,0,NA,0,0,0,0,0,0,0,NA,0,6,0.5,0.5,0,0.5,1,7.2180451,1,9,7.5,0.275,0,0,3.5,0.38888889,0.46666667,18,1.05,4.7,0.525,3.789474,0.51,0.54,5.5,4.2,0,0.5,0,0,0,NA,0,0,0,NA,0,0,NA,0,0.5,0,0,0,NA,1.5,0.5,1.5,0.333333333333333,0.5,1,0.5,0.5,3,3.5,0,NA,0,NA,1.5,0.333333333333333,2,1,0,0,1.5,1,0.7
203519,"Adonis Thomas","Adonis","Thomas","TOTAL",6,6.311111,1,0.5,0.66666667,0.75,0,0.16666667,0,0.75,6,0.33333333,0,0.66666667,0,0,0,2,0,0,0,0,NA,0,3.666667,0.5,0,0,0.66666667,1,7.6056338,3,6.333333,5.166667,0.18055556,0,0,2.3333333,0.36842105,0.4516129,38,2.87,4.5,0.4783333,3.638028,1.48,1.39,5.1,4.1,0.5,1.1666667,0.429,0,0.5,0,3,0,0,NA,0,0,NA,0.5,1.1666667,0.429,0,0.5,0,0.5,0.16666667,1.16666667,0.142857142857143,0.16666667,0.66666667,0.25,0.214285714285714,3,2.3333333,0,0,0,NA,0.5,0.142857142857143,1,0.75,0.16666667,0,1.16666667,0.66666667,0.464285714285714
203521,"Matthew Dellavedova","Matthew","Dellavedova","CLE",72,17.755324,0.94444444,0.41666667,1.04166667,0.4,0.11111111,0.375,0.296296296296296,0.453333333333333,68,1.86111111,0.5,1.94444444,0.354,1.35170723,36,134,0.06944444,0.45833333,0.70833333,1.19444444,0.593,5,25.25,2.58333333,0.45833333,0.56944444,4.95833333,6.1388889,16.595961,186,31.166667,25.444444,1.55324074,0.19444444,0.25,4.7083333,0.15106952,0.18504367,2244,93.95,4.4,1.3048611,3.52758,49.27,44.68,4.7,4.1,1.7083333,3.625,0.471,0.34722222,1.36111111,0.203,123,0.40277778,0.80555556,0.5,0.18055556,0.22222222,0.448,1.3055556,2.8194444,0.463,0.16666667,1.13888889,0.128,2.26388889,0.79166667,1.94444444,0.407142857142857,0.68055556,1.73611111,0.392,0.582142857142857,163,4.7083333,0.5,0.354,0.13888889,0.625,2.26388889,0.407142857142857,0.94444444,0.4,0.66666667,0.11111111,1.94444444,1.04166667,0.508445945945946
203524,"Solomon Hill","Solomon","Hill","IND",28,8.109524,0.42857143,0.17857143,0.25,0.714285714285714,0.07142857,0.07142857,1,0.857142857142857,12,0.32142857,0.14285714,0.32142857,0.333,0.84556665,4,9,0.07142857,0.17857143,0.35714286,0.71428571,0.5,2,8.035714,0.42857143,0,0.25,1.14285714,1.0714286,6.3417499,12,10.25,7.571429,0.28095238,0.32142857,0.03571429,1.6785714,0.16376307,0.22169811,287,15.1,4,0.5392857,3.192014,8,7.1,4.1,3.9,1.4642857,2.6428571,0.554,0.32142857,1.14285714,0.22,41,0.32142857,0.71428571,0.45,0.14285714,0.17857143,0.444,1.1428571,1.9285714,0.593,0.17857143,0.96428571,0.156,0.53571429,0.17857143,0.75,0.238095238095238,0.17857143,0.75,0.238095238095238,0.357142857142857,15,1.6785714,0.14285714,0.333,0.21428571,0.6,0.53571429,0.238095238095238,0.42857143,0.714285714285714,0.10714286,0.17857143,0.75,0.25,0.5125
203527,"Ryan Kelly","Ryan","Kelly","LAL",59,22.398305,0.98305085,0.47457627,1.3220339,0.358974358974359,0.03389831,0.10169492,0.333333333333333,0.371794871794872,58,1.49152542,1.33898305,1.6440678,0.463,2.86946652,79,88,0.76271186,0.54237288,2.25423729,3.81355932,0.591,45,28.457627,1.61016949,0.13559322,0.38983051,3.13559322,4.0338983,8.6447219,95,36.949153,20.016949,0.84011299,0.69491525,0.52542373,8,0.21651376,0.3996613,2180,92.78,4.2,1.5725424,3.369989,48.51,44.27,4.7,3.8,3.7118644,5.9830508,0.62,0.91525424,2.79661017,0.247,219,0.71186441,1.16949153,0.609,0.30508475,0.40677966,0.429,3,4.8135593,0.623,0.61016949,2.38983051,0.203,2.6779661,0.94915254,2.66101695,0.356687898089172,0.77966102,2.25423729,0.345864661654135,0.503184713375796,158,8,1.33898305,0.463,0.61016949,0.552,2.6779661,0.356687898089172,0.98305085,0.358974358974359,0.91525424,0.49152542,2.66101695,1.3220339,0.487870619946092
203539,"Gal Mekel","Gal","Mekel","DAL",31,9.52043,0.4516129,0.22580645,0.83870968,0.269230769230769,0,0.16129032,0,0.269230769230769,14,2.38709677,0.77419355,2.41935484,0.344,3.90332053,24,74,0.03225806,0.12903226,0.09677419,0.19354839,0.5,1,18.16129,2.03225806,0.19354839,0.41935484,3.83870968,4.9354839,24.8836684,63,23.16129,19.16129,1.69086022,0.19354839,0.09677419,2.3548387,0.10167131,0.12289562,718,21.9,4.5,0.7064516,3.56178,12.66,9.24,5.1,3.8,0.8709677,1.4193548,0.614,0.22580645,0.64516129,0.259,27,0.16129032,0.29032258,0.556,0.12903226,0.03225806,0.8,0.7096774,1.1290323,0.629,0.09677419,0.61290323,0.136,0.5483871,0.19354839,0.5483871,0.352941176470588,0.16129032,0.48387097,0.333333333333333,0.5,17,2.3548387,0.77419355,0.344,0.12903226,1,0.5483871,0.352941176470588,0.4516129,0.269230769230769,1.03225806,0.06451613,0.5483871,0.83870968,0.377906976744186
203540,"Gigi Datome","Gigi","Datome","DET",34,7.120588,0.52941176,0.26470588,0.70588235,0.375,0,0.05882353,0,0.375,18,0.11764706,0.05882353,0.11764706,1,0.39653036,2,4,0.02941176,0.17647059,0.55882353,0.73529412,0.76,1,6.735294,0.32352941,0,0.05882353,0.79411765,0.7647059,5.1548947,11,10.176471,6.970588,0.23676471,0.11764706,0.23529412,2.4411765,0.23988439,0.35021097,346,16.63,4.1,0.4891176,3.29715,8.75,7.88,4.5,3.8,1.3529412,2.3529412,0.575,0.44117647,0.91176471,0.326,46,0.41176471,0.91176471,0.452,0.23529412,0.17647059,0.571,0.9411765,1.4411765,0.653,0.20588235,0.73529412,0.219,0.97058824,0.38235294,1.58823529,0.240740740740741,0.20588235,1.02941176,0.2,0.305555555555556,33,2.4411765,0.05882353,1,0.11764706,1,0.97058824,0.240740740740741,0.52941176,0.375,0.02941176,0.02941176,1.58823529,0.70588235,0.38659793814433
203543,"Vitor Faverani","Vitor","Faverani","BOS",37,13.306757,0,0,0.13513514,0,0,0.05405405,0,0,0,0.05405405,0,0.08108108,NA,0,0,2,0.72972973,0.37837838,1.91891892,4.16216216,0.461,27,18.864865,0.43243243,0.02702703,0.27027027,0.97297297,0.972973,3.5096984,16,24.72973,13.324324,0.53423423,1.75675676,0.86486486,4.4324324,0.17923497,0.3326572,915,33.28,4.1,0.8994595,3.244521,17.77,15.51,4.3,3.8,3.4594595,6.3513514,0.545,1.48648649,1.97297297,0.43,128,1.13513514,2,0.568,0.78378378,0.35135135,0.69,2.3243243,4.3513514,0.534,0.7027027,1.62162162,0.302,1.45945946,0.56756757,1.48648649,0.381818181818182,0.32432432,1.02702703,0.315789473684211,0.490909090909091,54,4.4324324,0,NA,1.43243243,0.5,1.45945946,0.381818181818182,0,0,0,1.24324324,1.48648649,0.13513514,0.476190476190476
203544,"Pero Antic","Pero","Antic","ATL",49,18.498639,0.30612245,0.14285714,0.36734694,0.388888888888889,0.02040816,0.12244898,0.166666666666667,0.416666666666667,15,0.71428571,0.30612245,0.79591837,0.278,0.79432207,15,35,0.24489796,0.36734694,2.18367347,4.46938776,0.489,12,23.163265,1.16326531,0.14285714,0.36734694,2.46938776,2.8163265,7.307763,57,31.673469,19.591837,0.63945578,1.48979592,0.93877551,6.9591837,0.21971649,0.35520833,1552,61.99,4.1,1.265102,3.282668,33.61,28.38,4.4,3.8,4.1632653,7.0816327,0.588,1.53061224,2.63265306,0.368,204,1.16326531,2.02040816,0.576,0.79591837,0.36734694,0.684,3,5.0612245,0.593,0.73469388,2.26530612,0.245,3.69387755,1.30612245,3.65306122,0.357541899441341,1.08163265,3.18367347,0.33974358974359,0.505586592178771,181,6.9591837,0.30612245,0.278,0.97959184,0.545,3.69387755,0.357541899441341,0.30612245,0.388888888888889,0.36734694,0.67346939,3.65306122,0.36734694,0.506920415224913
